BehaviorSpace results (NetLogo 6.2.2),,,,,,,,,,,,,,,,,,,,,,
Sugarscape 1 demo.nlogo,,,,,,,,,,,,,,,,,,,,,,
popu-meta,,,,,,,,,,,,,,,,,,,,,,
02/18/2022 22:29:17:435 +0800,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,
0,49,0,49,,,,,,,,,,,,,,,,,,,
[run number],max-sugar,visualization,initial-population,max-vision,max-metabolism,[step],mean [metabolism] of turtles,,average-mean-meta,,,,,,,,,,,,,
306,10,no-visualization,400,6,1,800,1,,,,,,,,,,,,,,,
307,10,no-visualization,400,6,1,800,1,,,,,,,,,,,,,,,
308,10,no-visualization,400,6,1,800,1,,,,,,,,,,,,,,,
309,10,no-visualization,400,6,1,800,1,,,,,,,,,,,,,,,
310,10,no-visualization,400,6,1,800,1,,,,,,,,,,,,,,,
311,10,no-visualization,400,6,2,800,1.472622478,,1.454971248,,,,,,,,,,,,,
312,10,no-visualization,400,6,2,800,1.443804035,,,,,,,,,,,,,,,
313,10,no-visualization,400,6,2,800,1.470422535,,,,,,,,,,,,,,,
314,10,no-visualization,400,6,2,800,1.448179272,,,,,,,,,,,,,,,
315,10,no-visualization,400,6,2,800,1.495702006,,,,,,,,,,,,,,,
